"customer_id","first_name","last_name","email","country","subscription_date"
35,"Ruth","Hartman","k***@hotmail.com","France","2023-11-15"
34,"Jeffrey","Owens","z***@hotmail.com","Samoa","2022-12-17"
33,"Stacie","Simmons","h***@yahoo.com","Swaziland","2023-11-12"
32,"Kristin","Howell","t***@fisher.biz","Namibia","2023-11-04"
31,"Tanya","Steele","w***@kim.com","Antarctica (the territory Sout","2023-05-07"
30,"Travis","Smith","m***@jackson.com","Bahamas","2023-08-30"
29,"John","Cordova","d***@jensen.com","Cocos (Keeling) Islands","2023-02-15"
28,"Kathleen","Elliott","t***@strickland.com","Colombia","2023-04-18"
27,"John","Jimenez","w***@ward.com","Thailand","2022-12-08"
26,"Ryan","Anderson","a***@stephens.com","Wallis and Futuna","2024-11-28"
25,"Michelle","Farley","a***@avila.com","New Zealand","2024-04-20"
24,"Michael","Stanley","x***@smith.com","Hong Kong","2024-11-30"
23,"Laura","Duke","k***@doyle-love.com","Equatorial Guinea","2023-02-19"
22,"John","Mcpherson","a***@ward-johnson.com","Anguilla","2025-08-01"
21,"Laura","Fernandez","b***@phillips-russell.info","British Virgin Islands","2025-07-29"
20,"Alyssa","Reed","r***@powers-carey.com","Nauru","2023-01-21"
19,"Shannon","Jensen","w***@kim.net","Wallis and Futuna","2023-01-09"
18,"Candace","Blair","t***@gmail.com","Pitcairn Islands","2022-12-31"
17,"Lisa","Marquez","a***@perry.com","Vanuatu","2023-01-03"
16,"Timothy","Miller","w***@johnson.com","French Polynesia","2022-10-11"
15,"Zoe","Wheeler","a***@hotmail.com","Tunisia","2024-07-17"
14,"Gwendolyn","Morgan","b***@oneill.biz","Slovakia (Slovak Republic)","2024-10-08"
13,"Joshua","Obrien","c***@johnson-thompson.net","Tanzania","2024-08-24"
12,"Gary","Mcclain","t***@pineda.com","Sao Tome and Principe","2023-05-29"
11,"Nicole","Jackson","m***@mcdonald-wilkinson.com","Vanuatu","2024-04-25"
10,"Dylan","Durham","j***@cochran.biz","Mexico","2023-09-23"
9,"Walter","Hancock","c***@hotmail.com","Mayotte","2023-01-22"
8,"Wayne","Hart","m***@moore-johnson.info","Armenia","2024-11-08"
7,"Justin","Perez","p***@hotmail.com","Lesotho","2023-03-17"
6,"Lisa","Williams","d***@hamilton.com","Uzbekistan","2023-10-04"
5,"Tammy","Nguyen","a***@gmail.com","Argentina","2024-03-17"
4,"Rebecca","Williams","p***@yahoo.com","Mongolia","2023-09-21"
3,"Michael","Walker","l***@thomas.com","Italy","2023-09-20"
2,"Christopher","Obrien","n***@mcfarland.com","Anguilla","2025-08-12"
1,"Margaret","Holmes","m***@hopkins.com","United States Virgin Islands","2024-10-30"
36,"Jamie","Tate","s***@johnson.com","Guadeloupe","2025-07-26"
37,"Jennifer","Ali","q***@hotmail.com","Ukraine","2023-05-27"
38,"Ethan","Howard","a***@decker-duncan.com","Uruguay","2023-06-11"
39,"Andrew","Gray","s***@gmail.com","Iceland","2025-02-18"
40,"Connie","Taylor","j***@hotmail.com","Isle of Man","2023-12-10"
41,"Jean","Gray","q***@yahoo.com","Saint Pierre and Miquelon","2025-08-23"
42,"Julia","Brown","m***@yahoo.com","Sri Lanka","2023-05-31"
43,"Rodney","Spencer","m***@yahoo.com","Croatia","2025-05-19"
44,"Justin","Clay","i***@gmail.com","Montenegro","2024-05-07"
45,"Courtney","Juarez","g***@hotmail.com","Malaysia","2025-04-19"
46,"James","Lopez","b***@schneider.biz","Cocos (Keeling) Islands","2023-06-13"
47,"Anthony","Hall","a***@hotmail.com","Bahamas","2023-07-15"
48,"Michelle","Gibson","m***@mcgee.com","Bolivia","2022-11-14"
49,"Alison","Grant","b***@smith-bowers.biz","British Virgin Islands","2025-09-21"
50,"Pamela","Barber","h***@hanson.com","Mauritius","2024-11-08"
