"customer_id","first_name","last_name","email","country","nb_orders"
39,"Andrew","Gray","sean39@gmail.com","Iceland","10"
33,"Stacie","Simmons","harrellheather@yahoo.com","Swaziland","8"
31,"Tanya","Steele","whubbard@kim.com","Antarctica (the territory Sout","8"
23,"Laura","Duke","kgreen@doyle-love.com","Equatorial Guinea","7"
47,"Anthony","Hall","allisonalvarado@hotmail.com","Bahamas","7"
45,"Courtney","Juarez","gvillanueva@hotmail.com","Malaysia","7"
24,"Michael","Stanley","xcurtis@smith.com","Hong Kong","6"
16,"Timothy","Miller","wcantrell@johnson.com","French Polynesia","6"
30,"Travis","Smith","marshpaula@jackson.com","Bahamas","6"
38,"Ethan","Howard","amberdaniels@decker-duncan.com","Uruguay","6"
44,"Justin","Clay","isaacjohns@gmail.com","Montenegro","5"
6,"Lisa","Williams","dalvarez@hamilton.com","Uzbekistan","5"
18,"Candace","Blair","tdodson@gmail.com","Pitcairn Islands","5"
2,"Christopher","Obrien","nathanmarshall@mcfarland.com","Anguilla","5"
11,"Nicole","Jackson","melissawalter@mcdonald-wilkinson.com","Vanuatu","5"
26,"Ryan","Anderson","alexandersmith@stephens.com","Wallis and Futuna","5"
4,"Rebecca","Williams","perezsabrina@yahoo.com","Mongolia","5"
36,"Jamie","Tate","sarahlawson@johnson.com","Guadeloupe","5"
37,"Jennifer","Ali","qtaylor@hotmail.com","Ukraine","4"
27,"John","Jimenez","williamsonphilip@ward.com","Thailand","4"
43,"Rodney","Spencer","michael33@yahoo.com","Croatia","4"
1,"Margaret","Holmes","michellewhite@hopkins.com","United States Virgin Islands","4"
22,"John","Mcpherson","andrewwood@ward-johnson.com","Anguilla","4"
32,"Kristin","Howell","tracistark@fisher.biz","Namibia","4"
10,"Dylan","Durham","jarmstrong@cochran.biz","Mexico","4"
48,"Michelle","Gibson","michelle26@mcgee.com","Bolivia","4"
42,"Julia","Brown","mbecker@yahoo.com","Sri Lanka","4"
19,"Shannon","Jensen","watkinskelsey@kim.net","Wallis and Futuna","4"
35,"Ruth","Hartman","kathleenwade@hotmail.com","France","4"
5,"Tammy","Nguyen","angelicahoward@gmail.com","Argentina","3"
20,"Alyssa","Reed","robertcampbell@powers-carey.com","Nauru","3"
46,"James","Lopez","bookerbrian@schneider.biz","Cocos (Keeling) Islands","3"
50,"Pamela","Barber","hernandezdonald@hanson.com","Mauritius","3"
13,"Joshua","Obrien","calvin93@johnson-thompson.net","Tanzania","3"
28,"Kathleen","Elliott","tonya92@strickland.com","Colombia","3"
15,"Zoe","Wheeler","amanda37@hotmail.com","Tunisia","3"
12,"Gary","Mcclain","tina83@pineda.com","Sao Tome and Principe","2"
7,"Justin","Perez","pereznatalie@hotmail.com","Lesotho","2"
14,"Gwendolyn","Morgan","brownjennifer@oneill.biz","Slovakia (Slovak Republic)","2"
29,"John","Cordova","david03@jensen.com","Cocos (Keeling) Islands","2"
25,"Michelle","Farley","amanda84@avila.com","New Zealand","2"
9,"Walter","Hancock","christophercline@hotmail.com","Mayotte","2"
17,"Lisa","Marquez","alicia57@perry.com","Vanuatu","2"
34,"Jeffrey","Owens","zcochran@hotmail.com","Samoa","2"
41,"Jean","Gray","qlopez@yahoo.com","Saint Pierre and Miquelon","2"
3,"Michael","Walker","laura95@thomas.com","Italy","2"
40,"Connie","Taylor","jaclynbradley@hotmail.com","Isle of Man","2"
49,"Alison","Grant","barryhoward@smith-bowers.biz","British Virgin Islands","1"
21,"Laura","Fernandez","brookskelly@phillips-russell.info","British Virgin Islands","1"
NULL,"Wayne","Hart","marcus23@moore-johnson.info","Armenia","0"
